Legal Name,DBA Name,Street,City,State,Zip,Country,Phone No,Fax No,User Count,DealerTrack Id,Lender Dealer Id,Lender Rep Name,Lender Rep Id,Enrollment Date,Agreement Received,Enrollment Phase,Enrollment Update Date,Modified Date,Status,Dept,Alternate Street,Independent,PaymentTrack Id,Equifax Signup Date,Transunion Signup Date,Experian Reseller Signup Date,Experian Direct Signup Date,Cost Center,Loan App Id,Lease App Id,Loan Svc Id,Lease Svc Id,Prime Id,Subprime Id,Subvented Id,Match Change Date,Previous Match Dealerid,Grace Period Status,Agreement Required By Date,Agreement Version,Agreement Signatory,Overall Use 30 Days,Equifax Status,Experian Status,Transunion Status,PaymentTrack Status,eContract Status,Dealer File Override,Override Expiration,Vehicle Type,Created Date,Activated Date,Equifax Use 30 Days,Experian Use 30 Days,Transunion Use 30 Days,DMS Use 30 Day,DMS Status,BookOut Kelley Status,BookOut Kelley 30 Day Activity,BookOut NADA Status,BookOut NADA 30 Day Activity,BookOut Black Status,BookOut Black 30 Day Activity,SalesDesk Status,SalesDesk 30 Day Activity,BookOut Pro Status,BookOut Pro 30 Day Activity,EFTFAX,eMenu Status,eMenu Version,eMenu 30 Day Activity,Independent Preference,Independent Status,Independent 30 Day Activity,Notes,uniFI Indicator
"Rc Hill Mitsubishi Deland","Rc Hill Mitsubishi Deland - Darwin","1960 S. Woodland Blvd.","Deland","FL","32720","USA","3862230779","","33","134644","6155","","","05/21/02 16:08:00","06/24/03 17:49:38","Access Agreement Received","06/24/03","04/07/20 03:49:42","A","","","","*","*","*","*","*","*","","","","","","","","04/07/20 04:46:37","622336","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","I","","*","A","*","","*","*","*","*","*","","*","*","*","Y","*","*","","Yes"
"Pilson Auto Center Of Mattoon","Pilson Auto Center Of Mattoon - Darwin","2000 Lakeland Blvd","Mattoon","IL","61938","USA","2177186891","","18","134695","6114","","","03/10/03 17:45:09","03/10/03 17:51:20","Access Agreement Received","03/10/03","03/18/20 03:49:40","A","","","","*","*","*","*","*","*","","","","","","","","02/12/20 04:41:41","471784","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","I","I","*","A","*","I","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Harper Motors","Harper Motors - Darwin","4800 Highway 101 North","Eureka","CA","95503","USA","7074437311","","56","135447","4138","","","01/17/02 14:21:58","08/01/03 16:31:47","Access Agreement Received","12/13/05","04/02/20 03:46:45","A","","","","*","*","*","*","*","*","","","","","","","","04/02/20 04:46:03","590256","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","A","I","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Kirby Kia Of Ventura","Kirby Kia Of Ventura - Darwin","6424 Auto Center Dr","Ventura","CA","93003","USA","8056442241","","9","135835","4334","","","02/01/01 02:00:00","07/17/03 21:23:41","Access Agreement Received","02/11/14","05/21/20 03:50:23","A","","","","*","*","*","*","*","*","","","","","","","","05/21/20 04:48:50","828943","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","A","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Price Honda","Price Honda - Darwin","4567 S. Dupont Highway","Dover","DE","19901","USA","3022136839","","10","135938","5114","","","11/06/02 16:33:45","10/08/03 19:47:41","Access Agreement Received","02/19/14","06/25/20 03:50:58","A","","","","*","*","*","*","*","*","","","","","","","","","","*","*","*","*","*","*","*","*","*","*","N","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","I","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Kia Of Augusta","Kia Of Augusta - Darwin","1770 Gordon Highway","Augusta","GA","30904","USA","7063129200","","24","136240","5658","","","06/17/02 10:18:00","06/04/03 19:17:37","Access Agreement Received","12/15/14","03/18/20 03:49:40","A","","","","*","*","*","*","*","*","","","","","","","","10/12/19 04:37:51","779623","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","A","","*","I","*","I","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Dan Vaden Chevrolet Cadillac","Dan Vaden Chevrolet Cadillac - Darwin","9393 Abercorn St","Savannah","GA","31406","USA","9129259393","","33","136443","6076","","","10/21/02 11:07:16","06/06/03 09:09:02","Access Agreement Received","11/11/14","04/02/20 03:46:45","A","","","","*","*","*","*","*","*","","","","","","","","04/02/20 04:46:03","590281","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","A","","*","I","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Mastria Buick Gmc","Mastria Buick Gmc - Darwin","1525 New State Highway","Raynham","MA","02767","USA","8008211998","","25","137348","5706","","","08/20/04 16:56:37","08/20/04 17:02:32","Access Agreement Received","08/20/04","03/18/20 03:49:40","A","","","","*","*","*","*","*","*","","","","","","","","09/11/19 04:40:05","507967","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","A","","*","A","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Preston Bmw","Preston Bmw - Darwin","7830 Market Street","Boardman","OH","44512","USA","3307087332","","11","139397","2971","","","10/28/02 12:20:42","06/03/03 14:01:58","Access Agreement Received","09/03/10","06/17/20 03:52:14","A","","","","*","*","*","*","*","*","","","","","","","","","","*","*","*","*","*","*","*","*","*","*","N","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","","","*","A","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Turner Kia","Turner Kia - Darwin","4201 Chambers Hill Road","Harrisburg","PA","17111","USA","7175642240","","45","139794","55","","","01/09/02 03:07:57","04/21/03 11:20:29","Access Agreement Received","03/08/10","05/16/20 03:49:26","A","","","","*","*","*","*","*","*","","","","","","","","05/16/20 04:47:39","826677","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","C","","*","A","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Vic Bailey Volkswagen","Vic Bailey Volkswagen - Darwin","2671 Reidville","Spartanburg","SC","29301","USA","8643830363","","6","140013","4075","","","07/29/02 10:53:52","07/08/03 10:42:37","Access Agreement Received","02/18/09","04/02/20 03:46:45","A","","","","*","*","*","*","*","*","","","","","","","","04/02/20 04:46:03","590250","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","A","","*","A","*","A","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Northpointe Auto","Northpointe Auto - Darwin","3485 Pa-257","Seneca","PA","16346","USA","8146767000","","6","140036","6528","","","06/04/02 11:52:40","04/21/03 14:43:24","Access Agreement Received","01/19/06","04/23/20 03:49:42","A","","","","*","*","*","*","*","*","","","","","","","","04/23/20 09:02:54","634792","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","C","","*","A","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Duncans Hokie Honda","Duncans Hokie Honda - Darwin","2040 Roanoke Street","Christianburg","VA","24073","USA","5403813200","","9","140701","6101","","","01/14/02 12:21:22","06/19/03 17:01:52","Access Agreement Received","06/19/03","03/18/20 03:49:40","A","","","","*","*","*","*","*","*","","","","","","","","12/04/19 04:40:30","821895","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","","","*","A","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Duncan Acura Audi Saab","Duncan Automotive Inc","2032 Peterscreek Rd. Nw.","Roanoke","VA","24017","USA","5405620099","5405621955","7","140858","6124","","","02/19/02 11:39:43","05/27/03 10:18:11","Access Agreement Received","08/05/16","01/02/20 13:21:24","A","","","","*","*","*","*","*","*","","","","","","","","","","*","*","*","*","*","*","*","*","*","*","N","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","","","*","","*","","*","*","*","*","*","","*","*","*","","*","*","",""
"Bmw Of Towson","Bmw Of Towson - Darwin","700 Kenilworth Drive","Towson","MD","21204","USA","4102967900","","29","143229","4822","","","10/08/02 10:07:16","03/26/03 21:09:42","Access Agreement Received","04/11/07","05/21/20 03:50:23","A","","","","*","*","*","*","*","*","","","","","","","","05/21/20 08:33:22","828971","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","I","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Grand Prix Subaru","Grand Prix Subaru - Darwin","500 South Broadway","Hicksville","NY","11801","USA","8888681379","","17","144682","3643","","","02/26/02 15:42:00","04/17/03 12:57:48","Access Agreement Received","06/02/15","04/21/20 03:49:53","A","","","","*","*","*","*","*","*","","","","","","","","04/21/20 09:53:10","632327","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","A","","*","A","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Earl Duff Subaru","Earl Duff Subaru - Darwin","1028 S Roane St","Harriman","TN","37748","USA","8669814211","","3","145013","6617","","","02/01/01 14:00:00","05/28/03 15:34:10","Access Agreement Received","05/28/03","04/19/20 03:50:23","A","","","","*","*","*","*","*","*","","","","","","","","04/20/20 08:55:45","631679","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","","","*","I","*","I","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Wagner Subaru","Wagner Subaru - Darwin","5470 Intrastate Dr","Fairborn","OH","45324","USA","9378782171","","11","145025","6209","","","02/01/01 14:00:00","05/06/03 13:48:12","Access Agreement Received","05/06/03","05/05/20 03:50:16","A","","","","*","*","*","*","*","*","","","","","","","","05/05/20 04:48:19","679949","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","A","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Auburn Volkswagen","Auburn Volkswagen - Darwin","3109 Auburn Way North","Auburn","WA","98002","USA","2532181108","","5","145043","5503","","","02/05/02 18:46:20","07/12/03 15:47:46","Access Agreement Received","07/12/03","03/18/20 03:49:40","A","","","","*","*","*","*","*","*","","","","","","","","09/10/19 12:15:39","503670","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","A","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Flemington Subaru","Flemington Subaru - Darwin","167 Nj-31","Flemington","NJ","08830","USA","9087822025","","6","145309","7","","","02/01/01 14:00:00","04/04/03 16:01:48","Access Agreement Received","04/04/03","05/24/20 03:50:06","A","","","","*","*","*","*","*","*","","","","","","","","05/26/20 09:21:16","830914","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","A","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Thomas Cumberland Subaru Hyundai","Thomas Cumberland Subaru Hyundai - Darwin","10325 Mount Savage Rd Nw","Cumberland","MD","21502","USA","8887243949","","13","145716","1952","","","02/01/01 14:00:00","04/11/03 10:57:27","Access Agreement Received","09/08/10","04/15/20 03:49:36","A","","","","*","*","*","*","*","*","","","","","","","","04/07/20 04:46:37","622256","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","","","*","A","*","C","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Lithia Subaru Of Walnut Creek Diablo","Lithia Subaru Of Walnut Creek Diablo - Darwin","2646 N Main St","Walnut Creek","CA","94597","USA","9259376900","","92","149010","6898","","","11/13/13 02:26:29","11/13/13 13:14:01","Access Agreement Received","11/13/13","07/10/20 03:43:44","A","","","","*","*","*","*","*","*","","","","","","","","07/10/20 04:42:54","451859","*","*","*","*","*","*","*","*","*","*","","","Auto","11/12/13 11:24:23","11/12/13 11:24:23","*","*","*","*","A","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Hertz Car Sales Tampa","Hertz Car Sales Tampa - Darwin","11608 N Florida Ave","Tampa","FL","33612","USA","8139312361","","98","150029","113","","","09/04/14 02:39:14","02/18/16 10:28:03","Access Agreement Received","02/18/16","03/18/20 03:49:40","A","","","","*","*","*","*","*","*","","","","","","","","","","*","*","*","*","*","*","*","*","*","*","","","Auto","11/14/13 03:19:16","11/14/13 03:19:16","*","*","*","*","A","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Herb Chambers Porsche Of Boston","Herb Chambers Porsche Of Boston - Darwin","1172 Commonwealth Ave","Boston","MA","02191","USA","8559394278","","5","153571","1717","","","02/01/01 14:00:00","04/08/03 14:46:52","Access Agreement Received","04/08/03","05/16/20 03:49:26","A","","","","*","*","*","*","*","*","","","","","","","","05/16/20 04:47:39","826452","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","","","*","I","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Holman Audi Pembroke Pines","Holman Audi Pembroke Pines - Darwin","15000 Sheridan St","Pembroke Pines","FL","33331","USA","8883788973","","24","157867","3405","","","09/12/02 15:46:01","06/25/03 13:22:31","Access Agreement Received","02/13/15","03/18/20 03:49:40","A","","","","*","*","*","*","*","*","","","","","","","","08/17/19 06:30:17","495397","*","*","*","*","*","*","*","*","*","*","","","Auto","08/22/01 00:00:00","08/22/01 00:00:00","*","*","*","*","","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Anderson Dodge Chrysler Jeep Ram","Anderson Dodge Chrysler Jeep Ram - Darwin","5711 E State St","Rockford","IL","61108","USA","8152292000","","7","159503","6683","","","01/09/02 12:19:08","02/04/04 13:06:50","Access Agreement Received","05/31/07","04/30/20 03:53:20","A","","","","*","*","*","*","*","*","","","","","","","","04/30/20 04:53:38","638442","*","*","*","*","*","*","*","*","*","*","","","Auto","09/06/01 00:00:00","09/06/01 00:00:00","*","*","*","*","","C","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Atlanta West Chrysler Dodge Jeep Ram","Atlanta West Chrysler Dodge Jeep Ram - Darwin","1251 Thornton Rd","Lithia Springs","GA","30122","USA","7709421102","","75","162463","4054","","","08/25/14 10:39:26","08/25/14 13:25:41","Access Agreement Received","08/25/14","05/14/20 03:52:12","A","","","","*","*","*","*","*","*","","","","","","","","05/14/20 04:52:38","824911","*","*","*","*","*","*","*","*","*","*","","","Auto","12/18/13 03:18:08","12/18/13 03:18:08","*","*","*","*","","","*","A","*","A","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Audi Mechanicsburg","Audi Mechanicsburg - Darwin","6671 Carlisle Pike","Mechanicsburg","PA","17050","USA","8889032783","","8","165794","1666","","","02/01/01 14:00:00","04/10/03 09:19:41","Access Agreement Received","03/19/08","06/17/20 03:52:14","A","","","","*","*","*","*","*","*","","","","","","","","05/21/20 04:48:50","828771","*","*","*","*","*","*","*","*","*","*","","","Auto","10/26/01 00:00:00","10/26/01 00:00:00","*","*","*","*","","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Duncan Hyundai","Duncan Hyundai - Darwin","2050 Roanoke Street","Christiansburg","VA","24073","USA","5403813200","","9","173340","6099","","","01/14/02 12:28:36","08/26/03 15:03:45","Access Agreement Received","07/01/04","03/18/20 03:49:40","A","","","","*","*","*","*","*","*","","","","","","","","12/04/19 08:31:14","821889","*","*","*","*","*","*","*","*","*","*","","","Auto","12/10/01 00:00:00","12/10/01 00:00:00","*","*","*","*","","","*","A","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Reydel Volkswagen Inc","Reydel Volkswagen Inc - Darwin","2034 Rte 27","Edison","NJ","08818","USA","7322872828","","12","178652","7124","","","02/06/02 10:45:05","04/07/03 17:09:46","Access Agreement Received","04/11/14","07/10/20 03:43:44","A","","","","*","*","*","*","*","*","","","","","","","","07/10/20 04:42:54","451889","*","*","*","*","*","*","*","*","*","*","","","Auto","01/25/02 00:00:00","01/25/02 00:00:00","*","*","*","*","","","*","A","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"First Team Kia","First Team Kia - Darwin","4834a Bridge Rd","Suffolk","VA","23435","USA","7573014174","","13","181730","1550","","","02/20/14 14:36:48","02/20/14 14:39:29","Access Agreement Received","02/20/14","04/19/20 03:50:23","A","","","","*","*","*","*","*","*","","","","","","","","04/19/20 04:47:59","631648","*","*","*","*","*","*","*","*","*","*","","","Auto","02/13/14 03:18:02","02/13/14 03:18:02","*","*","*","*","","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Westbury Alfa Romeo Fiat","Westbury Alfa Romeo Fiat - Darwin","928 Jericho Turnpike","Westbury","NY","11590","USA","5168745517","","22","182888","3651","","","11/10/11 14:16:12","11/10/11 14:22:18","Access Agreement Received","11/10/11","05/30/20 03:50:16","A","","","","*","*","*","*","*","*","","","","","","","","05/30/20 04:48:53","833108","*","*","*","*","*","*","*","*","*","*","","","Auto","08/05/09 00:43:04","08/06/09 03:25:43","*","*","*","*","A","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Mike Patton Chrysler Dodge Jeep Ram","Mike Patton Chrysler Dodge Jeep Ram - Darwin","1408 Lafayette Parkway","Lagrange","GA","30241","USA","7068820600","","59","185155","5804","","","01/16/14 00:00:00","05/22/14 08:02:29","Access Agreement Received","05/22/14","03/18/20 03:49:40","A","","","","*","*","*","*","*","*","","","","","","","","10/30/19 15:06:39","784012","*","*","*","*","*","*","*","*","*","*","","","Auto","02/18/08 10:56:38","09/26/13 08:00:55","*","*","*","*","","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Audi West Houston","Audi West Houston - Darwin","15865 Katy Fwy","Houston","TX","77094","USA","2818993400","","36","185815","1902","","","04/09/04 16:29:08","04/09/04 16:40:53","Access Agreement Received","08/04/04","05/21/20 03:50:23","A","","","","*","*","*","*","*","*","","","","","","","","05/21/20 04:48:50","828811","*","*","*","*","*","*","*","*","*","*","","","Auto","04/16/02 00:00:00","04/16/02 00:00:00","*","*","*","*","A","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Audi Palo Alto","Audi Palo Alto - Darwin","1730 Embarcadero Rd","Palo Alto","CA","94303","USA","8886583065","","28","187573","2758","","","03/25/14 13:20:20","03/25/14 13:21:01","Access Agreement Received","03/25/14","05/30/20 03:50:16","A","","","","*","*","*","*","*","*","","","","","","","","05/05/20 12:45:20","637985","*","*","*","*","*","*","*","*","*","*","","","Auto","02/25/14 09:36:51","02/25/14 09:36:51","*","*","*","*","A","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Mini Peabody","Mini Peabody - Darwin","209 Andover Street","Peabody","MA","01960","USA","9785360088","","65","193723","4132","","","09/17/02 12:39:00","04/09/03 13:28:53","Access Agreement Received","12/17/08","05/12/20 03:49:52","A","","","","*","*","*","*","*","*","","","","","","","","05/12/20 04:48:14","822984","*","*","*","*","*","*","*","*","*","*","","","Auto","05/15/02 00:00:00","05/15/02 00:00:00","*","*","*","*","","","*","A","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"J. Bertolet Vw","J. Bertolet Vw - Darwin","555 Pa-61","Orwigsburg","PA","17961","USA","5703660501","","13","202162","6673","","","03/22/05 11:26:49","03/24/05 17:10:06","Access Agreement Received","03/24/05","04/23/20 03:49:42","A","","","","*","*","*","*","*","*","","","","","","","","05/21/20 18:01:54","634802","*","*","*","*","*","*","*","*","*","*","","","Auto","08/23/02 00:00:00","08/23/02 00:00:00","*","*","*","*","","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","","Yes"
"Price Acura","Price Acura - Darwin","4585 S. Dupont Highway","Dover","DE","19901","USA","3027345000","","10","202273","5113","","","10/07/03 10:15:28","11/05/03 15:09:10","Access Agreement Received","07/19/12","06/25/20 03:50:58","A","","","","*","*","*","*","*","*","","","","","","","","","","*","*","*","*","*","*","*","*","*","*","N","","Auto","08/23/02 00:00:00","08/23/02 00:00:00","*","*","*","*","I","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Boston Volkswagen","Boston Volkswagen - Darwin","43 North Beacon Street","Watertown","MA","02472","USA","6177831300","","4","203364","5396","","","01/14/04 09:58:43","01/14/04 10:01:21","Access Agreement Received","03/23/10","06/17/20 03:52:14","A","","","","*","*","*","*","*","*","","","","","","","","","","*","*","*","*","*","*","*","*","*","*","N","","Auto","08/23/02 00:00:00","08/23/02 00:00:00","*","*","*","*","A","","*","A","*","A","*","*","*","*","*","","*","*","*","Y","*","*","","Yes"
"Arapahoe Hyundai","Arapahoe Hyundai - Darwin","9899 E. Arapahoe Road","Centennial","CO","80112","USA","3035391700","","13","213281","264","","","09/04/02 14:55:53","05/23/03 12:32:46","Access Agreement Received","05/23/03","05/24/20 03:50:06","A","","","","*","*","*","*","*","*","","","","","","","","05/24/20 04:48:21","830818","*","*","*","*","*","*","*","*","*","*","","","Auto","06/05/02 00:00:00","06/05/02 00:00:00","*","*","*","*","C","I","*","I","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Texas Cars Direct","Texas Cars Direct - Darwin","2718 Forest Lane","Dallas","TX","75234","USA","9722433400","","8","213847","3010","","","09/20/02 11:56:25","05/22/03 12:16:09","Access Agreement Received","05/22/03","03/18/20 03:49:40","A","","","","*","*","*","*","*","*","","","","","","","","09/04/19 10:55:34","503347","*","*","*","*","*","*","*","*","*","*","","","Auto","06/12/02 00:00:00","06/12/02 00:00:00","*","*","*","*","","","*","A","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Allen Hyundai","Allen Hyundai - Darwin","624 E Pass Road","Gulfport","MS","39507","USA","2285395555","","9","219315","2213","","","04/05/17 09:52:34","04/05/17 09:57:26","Access Agreement Received","04/05/17","07/17/20 03:43:36","A","","","","*","*","*","*","*","*","","","","","","","","07/17/20 04:41:58","536720","*","*","*","*","*","*","*","*","*","*","","","Auto","05/07/14 03:34:09","06/27/15 03:44:03","*","*","*","*","","","*","A","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Anderson Nissan Mazda","Anderson Nissan Mazda - Darwin","6555 East State Street","Rockford","IL","61108","USA","8156333461","","8","221815","6680","","","07/16/02 11:30:41","05/22/03 19:44:28","Access Agreement Received","11/07/07","04/30/20 03:53:20","A","","","","*","*","*","*","*","*","","","","","","","","05/05/20 12:46:06","638440","*","*","*","*","*","*","*","*","*","*","","","Auto","06/30/02 00:00:00","06/30/02 00:00:00","*","*","*","*","C","C","*","C","*","C","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Furrow Mercedes-Benz Of Knoxville","Furrow Mercedes-Benz Of Knoxville - Darwin","10131 Parkside Drive","Knoxville","TN","37922","USA","8657772222","","4","229993","5429","","","10/01/10 12:08:08","04/02/12 15:49:59","Password Issued","02/26/20","05/05/20 03:50:16","A","","","","*","*","*","*","*","*","","","","","","","","05/11/20 15:29:19","651139","*","*","*","*","*","*","*","*","*","*","","","Auto","10/18/02 00:00:00","10/18/02 00:00:00","*","*","*","*","","","*","","*","I","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Three Rivers Volkswagen","Three Rivers Volkswagen - Darwin","3694 Washington Rd","Mcmurray","PA","15317","USA","7249416100","","32","231669","5192","","","09/12/02 12:06:23","05/05/03 17:41:55","Access Agreement Received","04/08/19","03/18/20 03:49:40","A","","","","*","*","*","*","*","*","","","","","","","","12/13/19 04:40:12","887226","*","*","*","*","*","*","*","*","*","*","","","Auto","07/24/02 00:00:00","07/24/02 00:00:00","*","*","*","*","","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Fathers & Sons Auto Group","Fathers & Sons Auto Group - Darwin","434 Memorial Ave","West Springfield","MA","01089","USA","4137851631","","9","232668","3982","","","08/28/02 13:56:54","04/07/03 12:43:08","Access Agreement Received","04/07/03","03/18/20 03:49:40","A","","","","*","*","*","*","*","*","","","","","","","","","","*","*","*","*","*","*","*","*","*","*","","","Auto","08/09/02 00:00:00","08/09/02 00:00:00","*","*","*","*","","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Kuni Honda On Arapahoe","Kuni Honda On Arapahoe - Darwin","10750 E Arapahoe Rd","Centennial","CO","80112","USA","3037082000","","31","239128","2861","","","09/23/02 05:32:49","07/08/03 11:41:01","Access Agreement Received","06/10/10","05/05/20 03:50:16","A","","","","*","*","*","*","*","*","","","","","","","","05/05/20 04:48:19","641549","*","*","*","*","*","*","*","*","*","*","","","Auto","08/14/02 00:00:00","08/14/02 00:00:00","*","*","*","*","A","","*","C","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"First Team Subaru","First Team Subaru - Darwin","4834 Bridge Road","Suffolk","VA","23435","USA","7579982979","","16","242010","1548","","","09/08/15 15:21:34","09/14/15 14:29:09","Access Agreement Received","09/14/15","04/21/20 03:49:53","A","","","","*","*","*","*","*","*","","","","","","","","04/21/20 04:47:42","632270","*","*","*","*","*","*","*","*","*","*","","","Auto","07/16/14 15:57:05","07/16/14 15:57:05","*","*","*","*","","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Bayside Nissan Of Annapolis","Bayside Nissan Of Annapolis - Darwin","2542 Riva Road","Annapolis","MD","21401","USA","4102240707","","11","243729","4181","","","07/23/14 16:36:46","07/23/14 18:27:32","Access Agreement Received","07/23/14","04/30/20 03:53:20","A","","","","*","*","*","*","*","*","","","","","","","","04/30/20 04:53:38","638164","*","*","*","*","*","*","*","*","*","*","","","Auto","07/23/14 03:34:54","07/23/14 03:34:54","*","*","*","*","","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Holman Lauderdale Mini","Holman Lauderdale Mini - Darwin","2125 S Federal Hwy","Fort Lauderdale","FL","33316","USA","8885575371","","13","249762","3418","","","09/26/18 13:45:00","10/01/18 13:11:05","Access Agreement Received","10/01/18","05/14/20 03:52:12","A","","","","*","*","*","*","*","*","","","","","","","","05/21/20 18:05:33","792732","*","*","*","*","*","*","*","*","*","*","","","Auto","08/12/14 11:01:23","08/20/14 03:48:45","*","*","*","*","","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Reeves Imports","Reeves Imports - Darwin","11337 N Florida Ave","Tampa","FL","33612","USA","8134992247","","0","250431","5353","","","","","Prospect","10/13/14","07/17/20 03:43:36","A","","","","*","*","*","*","*","*","","","","","","","","07/06/20 14:41:00","442043","*","*","*","*","*","*","*","*","*","*","","","Auto","08/12/14 11:01:32","08/20/14 03:48:45","*","*","*","*","","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Gregoris Subaru","Gregoris Subaru - Darwin","575 W Merrick Rd","Valley Stream","NY","11580","USA","5168258700","","0","250500","6827","","","","","Prospect","09/04/14","05/21/20 03:50:23","A","","","","*","*","*","*","*","*","","","","","","","","05/21/20 08:24:54","829026","*","*","*","*","*","*","*","*","*","*","","","Auto","08/12/14 11:01:33","08/20/14 03:48:45","*","*","*","*","","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
